ID,Label,Outcome,Year
0,Mossner,Positive,2001
1,Caspi,Positive,2003
2,Eley,Negative,2004
3,Grabe_a,Unclear,2004
4,Kaufman_a,Positive,2004
5,Gillespie,Negative,2004
6,Kendler,Positive,2005
7,Surtees,Negative,2005
8,Sjoberg,Negative,2005
9,Nakatani,Positive,2005
10,Ramasubbu,Positive,2006
11,Kaufman_b,Positive,2006
12,Wilhelm_a,Negative,2006
13,Taylor,Positive,2006
14,Jacobs,Positive,2006
15,Zalsman,Negative,2006
16,Scheid_a,Negative,2006
17,Lenze,Positive,2006
18,Dick,Unclear,2007
19,Kraus,Negative,2007
20,Cervilla,Positive,2007
21,Chipman,Negative,2007
22,Chorbov,Negative,2007
23,Kim_a,Unclear,2007
24,Wichers,Negative,2007
25,Otte,Positive,2007
26,Cicchetti_a,Negative,2007
27,Brummett,Unclear,2007
28,Kilpatrick,Unclear,2007
29,Bull,Positive,2008
30,Lazary,Positive,2008
31,Power,Negative,2008
32,Lotrich,Unclear,2008
33,Zhang_a,Negative,2008
34,Kohen,Positive,2008
35,PhillipsBute,Negative,2008
36,Araya,Negative,2008
37,Laucht,Negative,2009
38,Aguilera,Positive,2009
39,Zhang_b,Negative,2009
40,Kim_b,Positive,2009
41,Ritchie,Negative,2009
42,Aslund,Positive,2009
43,Benjet,Positive,2009
44,Hammen,Unclear,2009
45,Gibb,Unclear,2009
46,Coventry,Negative,2009
47,Ressler,Unclear,2009
48,Grassi,Negative,2010
49,Goldman,Negative,2010
50,Kumsta,Positive,2010
51,Sen,Positive,2010
52,Antypa,Negative,2010
53,Sugden,Negative,2010
54,Conway,Negative,2010
55,Comasco_b,Unclear,2011
56,Fergusson,Negative,2011
57,Uher,Negative,2011
58,Stefanis,Negative,2011
59,Mitchell,Negative,2011
60,Tsuboi,Positive,2011
61,Carli,Negative,2011
62,Hankin,Negative,2011
63,Comasco_a,Unclear,2011
64,Cicchetti_b,Negative,2011
65,Jenness,Negative,2011
66,Scheid_b,Negative,2011
67,Quinn,Negative,2012
68,Grabe_b,Negative,2012
69,Petersen,Positive,2012
70,Beaver,Positive,2012
71,Brown,Negative,2012
72,Wilhelm_b,Negative,2012
