Paper,Supportive,Critical,Neutral
1-PMID17582362,"11, 83, 88, 93, 94, 96",,4
2-PMID17366591,"4, 21, 74, 93, 94, 96, 129",121,
3-PMID17917534,"4, 16, 21, 69, 75, 83, 88, 93, 94, 95",,
4-PMID16432144,"16, 18, 21, 27, 75, 95, 96, 97",,"88, 93, 94"
5-PMID16432148,"20, 21, 75, 80, 88, 93, 94, 97",,
6-PMID16432137,0,,
7-PMID16432141,"4, 21, 30, 74, 156, 302",,
8-PMID16432143,126,,
9-PMID16932602,21,,
10-PMID16364943,0,,
11-PMID16104000,"16, 18, 21, 74, 75, 93, 94, 96, 97",,
12-PMID16315367,"16, 21, 74, 117",,
13-PMID16155431,16,,
14-PMID15367860,0,178,
15-PMID12731644,"21, 88, 93, 94, 96, 97",,
16-PMID14569203,"17, 18, 20, 21, 52, 93, 94, 95, 96, 97",,
17-PMID12407303,"29, 79",,
18-PMID12351995,"21, 22, 88, 93, 96, 97",,
19-PMID12410086,0,,
20-PMID12217248,"21, 22, 75, 93, 94",,
21-PMID11202170,"23, 26, 28, 74, 75, 93, 94, 125",,
22-PMID11698722,"21, 74, 91, 125",,
23-PMID10590889,"74, 93, 94, 96",,
24-PMID10551668,"28, 74, 79",,29
25-PMID9868522,75,,
26-PMID9812213,"30, 37, 74, 75, 76, 80, 96, 97, 141",,
27-PMID9846956,"30, 74, 75, 80, 93, 96, 97, 141",,
28-PMID9855208,"74, 75, 76, 77, 80, 95, 141",,
29-PMID9678308,"30, 37",,
30-PMID9668220,"74, 75, 80, 139",,
31-PMID9773019,0,,
32-PMID9330888,37,,
33-PMID8839618,0,,
34-PMID8609499,"38, 80",78,
35-PMID8939193,"74, 75, 80",,
36-PMID7486861,38,,
37-PMID8579968,"74, 75, 76, 77, 79, 80",,
38-PMID7804466,"74, 75, 76, 77, 79, 80",72,
39-PMID7855331,"74, 75, 76, 80, 143",,
40-PMID8156143,80,,
41-PMID8117535,"75, 76, 79, 80",,
42-PMID8272596,"79, 80",,
43-PMID16769649,16,,
44-PMID16542836,"8, 14, 26",,
45-PMID16932688,"14, 57",121,
46-PMID15311338,"26, 36, 57",,
47-PMID15577608,16,121,
48-PMID15577607,0,,117
49-PMID15158744,0,,15
50-PMID15165685,0,,
51-PMID14639580,"21, 22",,
52-PMID12661042,"27, 90",,
53-PMID12894385,0,,
54-PMID12506772,38,,
55-PMID12170392,21,,
56-PMID11562570,21,,
57-PMID9865793,62,,
58-PMID9801848,0,,
59-PMID9178151,37,,
60-PMID9227956,"36, 41, 74, 140",,139
61-PMID9010966,37,,
62-PMID8968219,"79, 80",,
63-PMID7865375,74,,
64-PMID7865379,79,,
65-PMID8156142,80,,
66-PMID1423335,0,,
67-PMID1333783,79,,
68-PMID1327303,79,,
69-PMID17469125,"4, 81",,
70-PMID7632892,"74, 75, 80, 139, 142",,
71-PMID7478207,0,"80, 143","74, 75, 76, 288"
72-PMID7992832,"41, 74, 75, 80",,
73-PMID8178939,0,"75, 80, 143",
74-PMID7692809,"79, 80",,
75-PMID8394158,80,,
76-PMID8461987,"79, 80",,
77-PMID8268725,0,,80
78-PMID7925489,0,,
79-PMID1346915,0,,
80-PMID1321564,0,,
81-PMID15950323,"74, 75, 86, 88, 89, 93, 94, 97",,
82-PMID16517603,"81, 88, 89, 93, 95, 96, 97",,
83-PMID16723713,"74, 75, 85, 86, 88, 101, 187",,
84-PMID16940437,"18, 75, 80, 93, 94, 95, 96, 97",,
